epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2164.82,1.14613,1.98463,1.18068,1.23711,0.81137,0.67569,0.76909,0.51229,0.7866,0.65038,0.72279,0.40485,1.15877,1.78557,1.07934,1.28984,0.0007129,0.0007129,0.0007129
31,2236.28,1.13098,1.97781,1.16837,1.22595,0.78687,0.68068,0.76059,0.5075,0.76367,0.65969,0.70435,0.39911,1.13834,1.85206,1.10167,1.29109,0.000703,0.000703,0.000703
32,2307.89,1.14775,1.97533,1.16747,1.23299,0.76739,0.69035,0.74992,0.47776,0.73759,0.65582,0.68528,0.37812,1.19685,1.83631,1.13284,1.32759,0.0006931,0.0006931,0.0006931
33,2378.4,1.13034,1.96059,1.14732,1.22643,0.78047,0.72476,0.78172,0.535,0.75896,0.70306,0.74485,0.43173,1.11616,1.73028,1.04774,1.27137,0.0006832,0.0006832,0.0006832
34,2450.64,1.11946,1.93671,1.13548,1.21277,0.77723,0.73255,0.77601,0.52736,0.76931,0.69767,0.7338,0.41908,1.12221,1.72395,1.05292,1.25372,0.0006733,0.0006733,0.0006733
35,2522.86,1.12179,1.93361,1.11858,1.209,0.74282,0.73571,0.74956,0.49488,0.70241,0.69886,0.69212,0.38934,1.12684,1.74861,1.07634,1.27437,0.0006634,0.0006634,0.0006634
36,2594.34,1.11498,1.93167,1.12411,1.21229,0.78774,0.67914,0.7605,0.50565,0.77616,0.65395,0.71417,0.41631,1.1367,1.74487,1.1086,1.27718,0.0006535,0.0006535,0.0006535
37,2666.11,1.11327,1.9249,1.12081,1.20833,0.76608,0.69891,0.76704,0.5182,0.74717,0.66647,0.72416,0.41309,1.13132,1.74906,1.09667,1.2722,0.0006436,0.0006436,0.0006436
38,2737.49,1.09723,1.91837,1.122,1.20113,0.80245,0.66518,0.76204,0.52338,0.80016,0.63339,0.71254,0.40517,1.12733,1.81986,1.11138,1.24982,0.0006337,0.0006337,0.0006337
39,2809.35,1.10605,1.89098,1.106,1.20499,0.7873,0.71058,0.77728,0.53839,0.75438,0.66192,0.70896,0.41098,1.10997,1.76568,1.02404,1.26997,0.0006238,0.0006238,0.0006238
40,2881.3,1.101,1.87708,1.09732,1.20341,0.7742,0.70461,0.7408,0.49032,0.74145,0.64976,0.66659,0.36347,1.11912,1.93582,1.10879,1.26226,0.0006139,0.0006139,0.0006139
